Angle,Period,BeamSigmaX,BeamSigmaY,Mean,Std,Background,Peak
90.0,212.33333333333334,210.57231537554418,196.3350911755777,0.07865812,0.15085293,0.0,0.68817204
90.0,161.0,213.3969058775933,196.15381146702867,0.07424237,0.14257039,0.0,0.65656567
90.0,286.5,209.9256811589089,196.1734349863192,0.07725525,0.15101354,0.0,0.71875
90.0,13.5,209.15403873854927,196.29849611887622,0.071979545,0.14141937,0.0,0.6699029
90.0,11.0,208.78492965172978,196.23975381622984,0.06928785,0.13690154,0.0,0.6542056
91.63657704161673,311.0,210.26487054284075,196.19799476458536,0.06675906,0.13165002,0.0,0.6216216
91.59114027119458,621.0,211.96607968370972,196.10019954449137,0.06737273,0.13232371,0.0,0.6272727
91.50743575877496,572.0,213.3579763967372,196.12318015905416,0.06858034,0.13406314,0.0,0.6388889
91.50743575877496,623.0,213.85778740924974,196.03613422998743,0.06733954,0.13197063,0.0,0.6272727
91.46880071438582,,214.43544937592216,195.87049725365435,0.066778265,0.13080257,0.0,0.6216216
91.46880071438582,207.33333333333334,215.22659292475714,195.84076750765942,0.06799205,0.13235459,0.0,0.6238532
91.43209618416464,302.5,215.6856671844015,195.87610650338758,0.06673538,0.13034283,0.0,0.6216216
90.0,,211.9776291469443,196.2115831758341,0.07663294,0.14823757,0.0,0.6979167
91.43209618416464,621.0,215.81202168315164,195.99422577724354,0.07058594,0.13729298,0.0,0.6571429
91.46880071438582,10.0,214.8161579425633,195.83079299872534,0.066751175,0.13050403,0.0,0.6216216
91.46880071438582,652.0,214.01276217868352,195.85381422027075,0.0692285,0.13497742,0.0,0.635514
93.01278750418334,295.5,213.36543295291816,195.8219661262365,0.06861546,0.13432108,0.0,0.6388889
93.09405805891711,580.0,212.61074088574972,195.85124888367028,0.069217704,0.13544475,0.0,0.6448598
93.09405805891711,293.5,212.26850726493106,195.78295910278848,0.07052967,0.13767259,0.0,0.64761907
93.09405805891711,584.0,211.96999178523154,195.7912430163837,0.069221444,0.13494556,0.0,0.62616825
93.09405805891711,386.0,211.9307462974008,195.7752673368891,0.07194106,0.13993189,0.0,0.65048546
93.09405805891711,585.0,211.88939065171877,195.77690791813924,0.07057874,0.13701858,0.0,0.63809526
93.09405805891711,,211.77751849181183,195.7883238495708,0.07336809,0.142046,0.0,0.65346533
90.0,11.0,211.3221847717324,196.3169820899474,0.07652528,0.14757444,0.0,0.68421054
94.63546342690265,601.0,211.70026580322838,195.7696620037325,0.07492387,0.14480847,0.0,0.67676765
94.63546342690265,643.0,211.48658943532376,195.78207002974136,0.0719222,0.13877854,0.0,0.6407767
94.63546342690265,425.3333333333333,211.3434648159821,195.7539143929028,0.07639459,0.14717196,0.0,0.6701031
93.17983011986425,421.0,210.9863201002174,195.8014451541809,0.0756564,0.14571401,0.0,0.67346936
93.17983011986425,372.3333333333333,210.13273712284675,195.79597452795937,0.07807512,0.15061085,0.0,0.69473684
93.36646066342982,411.3333333333333,208.79656578087355,195.81254203388883,0.083386965,0.16143988,0.0,0.752809
93.46822925891712,420.0,207.40234836764597,195.90893691420288,0.07980313,0.15509646,0.0,0.7096774
93.57633437499734,593.0,206.4304690562458,195.90169085754516,0.08075071,0.1573882,0.0,0.73913044
93.69138598645128,595.0,205.3912335853591,195.93826111529052,0.07986965,0.15613744,0.0,0.7311828
93.81407483429035,595.0,204.48433465864747,196.023555103618,0.07735461,0.15166199,0.0,0.7083333
90.0,295.5,210.9942388242159,196.34054911213417,0.07412733,0.14362969,0.0,0.6632653
94.08561677997488,639.5,203.4585136584237,196.10906375411938,0.07823587,0.15390146,0.0,0.7263158
92.20259816176579,10.0,202.56942175584598,196.19592754252432,0.08169812,0.16127065,0.0,0.7582418
85.60129464500447,359.5,201.89009505962213,196.3286767722568,0.083491966,0.16473667,0.0,0.77272725
92.29061004263852,12.0,201.82406064172034,196.240544067054,0.07909455,0.1564424,0.0,0.7340425
92.20259816176579,11.0,202.02834431617467,196.20807115061115,0.07824465,0.15468961,0.0,0.7263158
92.20259816176579,,202.14919482933573,196.18877062584937,0.07908736,0.15623379,0.0,0.7340425
92.20259816176579,,202.39552684260806,196.16512164020696,0.080817536,0.15953292,0.0,0.75
94.23639479905881,638.5,202.4979168713105,196.12650133087166,0.08076057,0.15932368,0.0,0.75
94.23639479905881,601.0,202.69965857846526,196.05606728861147,0.08071133,0.15917012,0.0,0.75
94.23639479905881,637.5,202.66970297773523,196.0721420825178,0.08074794,0.15929548,0.0,0.75
